Time (s),Position (m)
1.120386417,0.296406336
1.130401417,0.301080889
1.140416417,0.30578809
1.150431417,0.310590331
1.160446417,0.315424924
1.170461417,0.320272501
1.180476417,0.325234014
1.190491417,0.330067252
1.200506417,0.335065474
1.210521417,0.340032354
1.220536417,0.345155159
1.230552167,0.350146618
1.240567167,0.355271687
1.250582167,0.360362464
1.260597167,0.365545647
1.270612167,0.370747441
1.280627167,0.376028241
1.290642167,0.381154524
1.300657167,0.386470062
1.310672167,0.391750411
1.320687167,0.397066157
1.330702167,0.402377113
1.340717167,0.407717261
1.350732167,0.413082707
1.360747167,0.418533308
1.370763167,0.423962948
1.380778167,0.429468046
1.390793167,0.434930776
1.400808167,0.440401784
1.410823167,0.445992252
1.420838167,0.451634193
1.430853167,0.457212139
1.440868167,0.462821698
1.450883167,0.46850857
1.460898167,0.474222601
1.470913167,0.48000248
1.480928167,0.485767811
1.490943167,0.491564554
1.500959167,0.497427802
1.510974167,0.503353584
1.520989167,0.509254409
1.531004167,0.515228771
1.541019167,0.521095786
1.551034167,0.527142293
1.561049167,0.533151447
1.571064167,0.539137446
1.581079167,0.545200486
1.591094167,0.55124421
1.601109167,0.55734283
1.611124167,0.563414387
1.621139167,0.569540637
1.631155167,0.575635641
1.641170167,0.581874432
1.651185167,0.588016341
1.661200167,0.594291684
1.671215167,0.60050937
1.681230167,0.606799107
1.691245167,0.613099942
1.701260167,0.619494898
1.711275167,0.625798237
1.721290167,0.63222441
1.731305167,0.638579518
1.741320167,0.645058999
1.751335167,0.651543462
1.761350167,0.657999967
1.771366167,0.664514826
1.781381167,0.671032299
1.791396167,0.677611805
1.801411167,0.68408363
1.811426167,0.690645311
1.821441167,0.697240709
1.831456167,0.703794847
1.841471167,0.710499764
1.851486167,0.71711659
1.861501167,0.723767667
1.871516167,0.730518999
1.881531167,0.73717261
1.891546167,0.743926387
1.901561167,0.750668286
1.911577167,0.75740323
1.921592167,0.764231923
1.931607167,0.771021692
1.941622167,0.77786123
1.951637167,0.784727681
1.961652167,0.79159676
1.971667167,0.798502484
1.981682167,0.805415593
1.991697167,0.812310905
2.001712167,0.819316027
2.011727167,0.826200851
2.021742167,0.833140323
2.031757167,0.840135979
2.041772167,0.847133343
2.051788167,0.854182577
2.061803167,0.861184504
2.071818167,0.86827534
2.081833167,0.875318593
2.091848167,0.88244115
2.101863167,0.889553452
2.111878167,0.896704753
2.121893167,0.903818342
2.131908167,0.910933541
2.141923167,0.918174509
2.151938167,0.92532722
2.161953167,0.932473638
2.171968167,0.939673613
2.181983167,0.946972782
2.191999167,0.954057957
2.202014167,0.961390777
2.212029167,0.968689392
2.222044167,0.97587124
2.232058667,0.983150745
2.242073667,0.990495337
2.252088667,0.997713165
2.262103667,1.005024798
2.272118667,1.012319779
2.282133667,1.019645602
2.292148667,1.026934044
2.302163667,1.034293766
2.312178667,1.041586474
2.322193667,1.04892761
2.332209667,1.056374711
2.342224667,1.063750923
2.352239667,1.071204959
2.362254667,1.078591943
2.372269667,1.086107268
2.382284667,1.093453487
2.392299667,1.100904141
2.402314667,1.108350208
2.412329667,1.115844471
2.422344667,1.123262978
2.432359667,1.13068276
2.442374667,1.138201355
2.452389667,1.145564416
2.462404667,1.153135758
2.472420667,1.1606745
2.482435667,1.168163422
2.492450667,1.175667541
2.502465667,1.183205827
